branch	sha	etat	dernier_commit	auteur
feat/gestion-session-retours	b8dd087176c187b7d14e6d25d3f1e57f9172bc67	fusionnee	2026-08-04	Yonathan Cardoso
feat/local-firebase-emulators	803f8d7b194b0efac2a0439cdc87344c0f5638be	NON-fusionnee	2026-06-21	Phenixel
feat/og-image-per-session	7f621caacd26033ff10e9e7db067fd083e751400	NON-fusionnee	2026-06-23	Claude
feat/posthog-funnel-etapes-manquantes	15957704166802a423cd3e0fce7735d0ba9f4072	fusionnee	2026-07-30	Claude
feat/posthog-mesure-fiable	5d7672a5b5ef08b45b8014193a6aa0905252b90c	fusionnee	2026-07-29	Phenixel
feat/posthog-product-tracking	4268133f6498d3309b95b17936c9a5a972ad6f61	fusionnee	2026-07-28	Claude
feat/push-test-et-foreground	07861e28db34252e1ee9f731d62f1a35f052b806	fusionnee	2026-07-20	Claude
feat/seo-overhaul	b70390daa7baad5c5448ad9ba5a5d140925f8862	NON-fusionnee	2026-06-21	Phenixel
feat/seo-reading-pages	52ed119b63b8260d3c6a12543226d38e8669dedb	fusionnee	2026-06-26	Claude
feat/seo-tehilim-chapters	d5c31956c9e3d654f5295a6dcd09902ee57ae9f4	NON-fusionnee	2026-06-23	Claude
feat/seo-tehilim-hub-refoua	064cdcc28801bb1df32ac4af2b1b9d37b75f4fc3	NON-fusionnee	2026-06-23	Claude
feat/seo-tehilim-intentions	69b69077cf564312bc01a26bfd960e8e4cba1d05	NON-fusionnee	2026-06-23	Claude
feat/seo-tehilim-suite	f436c30d697d716ff8110aade9302e93bdb1f4a1	NON-fusionnee	2026-06-24	Phenixel
feat/share-whatsapp-message	498850e7994ea1f3d24bfc2e470d2006e8a9dffa	NON-fusionnee	2026-06-23	Claude
feat/update-gradient-colors	22c4eba1f1212dd5bbcf32c7d65fb49434f648c0	NON-fusionnee	2026-03-29	Phenixel
finish-style	e814711637d62743334f7530b835ddb4e154c00b	NON-fusionnee	2025-12-08	Phenixel
fix-langage	59e4660d7c363744141e2cb7e4cd85712985fc27	NON-fusionnee	2025-12-30	Phenixel
fix-login	2dd598f1b1241364ad5b7f3270198941f2da11e2	NON-fusionnee	2026-02-26	Phenixel
fix-tests	c4b7152778293177d9e3fbf87c15a95d015867cd	NON-fusionnee	2025-12-30	Phenixel
fix/app-polish	d355d3d0dae43d9fd09004b9bf0942c50b92b6e2	fusionnee	2026-07-20	Claude
fix/daily-reading-icon-and-deploy	810416e323be3de40739b011ff852d2d92af3e87	fusionnee	2026-06-28	Claude
fix/deploy-workflow-split-verify	ee1f520707071bd262c30e0cd0779ccf207211ed	fusionnee	2026-06-29	Phenixel
fix/google-signin-credential-manager	58a0a74f388026d7a5c7a4a1d576eaa0d6092937	fusionnee	2026-07-28	Yonathan Cardoso
fix/posthog-app-platform	3bc863f8fc49750db98ceea67462ef1f2a63f931	fusionnee	2026-07-28	Claude
fix/pst-73-theme-firestore-rules	65af0ae6bf33c49b2730288bc0235736a38a8f0a	NON-fusionnee	2026-03-29	Claude
fix/scroll-reset-and-profile-session-link	0c151f2810a52a253f21227aa300e3bf8a45fa53	NON-fusionnee	2026-06-21	Phenixel
fix/session-slug-immutable	399bcade961f216edb824a87868c96040cb3a048	fusionnee	2026-07-14	Phenixel
fix/social-preview-site-url	3449cae9657f530636f0aa2cdf6a15b2e06189bd	NON-fusionnee	2026-06-15	Phenixel
gcp_hosting	c9bc510dc1aed7e73e34279008f3456e336c9984	NON-fusionnee	2025-07-02	milkshake308
general-fix	24879a7be5bd9c649af35b28d802b04e3a0ec13b	NON-fusionnee	2026-03-02	Phenixel
hide-finish	d0c7e19fbbff64abcf6675cc2bbebbd361aad6ee	NON-fusionnee	2025-12-16	Phenixel
manage-session	143bd0a2cea698f95ce77531a0194537ed859acc	NON-fusionnee	2025-12-09	Phenixel
play-store-launch-prep	84317b7d6e719274a4780047cfef54ce4af63491	NON-fusionnee	2026-07-20	Claude
profile	59f9b57ac69d5f0648ff905ccd5e29fbb368d81d	NON-fusionnee	2025-09-16	Phenixel
refacto-style	dd44e76ca6d0c779eb34bd5234a396e4a7a1e585	NON-fusionnee	2025-12-08	Phenixel
share-reading	d83c24a14b0a7ca71fc1f5feeebef7f8ed2e1372	NON-fusionnee	2025-09-10	Phenixel
update-wording	e9278adfd1bc343def6f12043099610fb14eddfc	NON-fusionnee	2026-03-29	Phenixel
vue-migration	c8963a0450753f23c63dfc4ba8be55de97acf4c9	NON-fusionnee	2025-08-29	Phenixel
